question_id,question_index,question,option_a,option_b,option_c,option_d,correct_answer,predicted_answer,is_correct,raw_response,timestamp,subject
87d8663f-e0cd-4766-87b7-5312dfc4cd62,15,"Which of the following type of failure may occur, if the coefficient of thermal expansion of ceramic is much lower than that of metal?",Cohesive failure of ceramic,Adhesive failure of metal ceramic bond,Cohesive failure of metal,Cohesive failure of metal ceramic bond,B,B,1,B,2025-06-08T08:59:08.857784,Dental
685afed9-5dfa-4383-9001-50148cf6cb99,16,Anti monsoon curve seen in :,Premolar,Molar,Anterior,All of the above.,D,B,0,B,2025-06-08T08:59:10.797430,Dental
4a36bb7a-a19f-4aba-82b3-6cd35fc3cbc0,17,During periradicular surgery bone is removed with?,Round burr,Double inverted cone burr,Fissure burr,Taper Burr,A,A,1,A,2025-06-08T08:59:12.601793,Dental
4f5f8f0f-7956-4d71-b7ad-d29b76eda55f,18,The primary function of the dental pulp is:,Nutritive,Production of dentin,Production of enamel,Vascular supply to the teeth,B,A,0,A,2025-06-08T08:59:15.204603,Dental
5878356e-0dc4-4d11-81fe-765d78c6b593,19,Reciprocal arm taper in,1 dimension,2 dimension,3 dimension,Not tapered,A,B,0,B,2025-06-08T08:59:17.029362,Dental
4710c6bb-67b6-47ab-85e1-7cac22bd35cf,20,Bluegrass appliance is used to treat:,Thumb sucking.,Tongue thrusting.,Both,Mouth breathing.,C,C,1,C,2025-06-08T08:59:18.851296,Dental
92693be1-566d-490a-9ecb-bb5124769c74,21,On a primary 2nd molar caries occur most commonly on,Occlusal pit and fissures,Proximal caries below contact point,Buccal surface,Promixal caries above contact point,A,A,1,A,2025-06-08T08:59:20.735933,Dental
729e5ae9-94b3-4aa0-be92-c64186ec1875,22,Incorporation of peripheral seal in an impression is necessary to obtain;,Stability,Functionally moulded periphery,Harmonious occlusion,Posterior palatal seal,B,D,0,D,2025-06-08T08:59:22.435783,Dental
f719334e-ac98-46bf-8b44-89f71994e233,23,Modulus of elasticity means:,Rigidity or stiffness of the material,Ability to be stretched with permanent deformation,Ductility of a material,Malleability of the metal,A,A,1,A,2025-06-08T08:59:24.507579,Dental
efa0e92a-b11b-4c1c-a97d-8b4409430caa,24,The resolution of IOPA is about:,10 Lp/mm,16 Lp/mm,28 Lp/mm,30 Lp/mm,B,C,0,C,2025-06-08T08:59:27.086049,Dental
18796d06-7762-4185-b0ca-c1b527502073,25,Which of the following is not true about stamp cusp?,Maintain vertical height of face,Facial incline might contact in MI,Sharp cusps and prominent ridges are present,Not recalled,C,D,0,D,2025-06-08T08:59:28.616709,Dental
29e07bd0-f864-4738-bdbc-491f1205287f,26,Sugar restricted to diet was beneficial in presence of unfavorable hygiene was from which study?,Hopewood,Experimental,Vipeholm,Turku,A,C,0,C,2025-06-08T08:59:30.804410,Dental
8798d2af-fc67-4463-9098-f105b3f4b458,27,"Alginate at 20 degrees, the gel is formed in",3-4 mins.,6-8 mins.,15-16 mins.,1-2 min.,A,A,1,A,2025-06-08T08:59:32.340718,Dental
57d48689-dcbd-4e81-9ea9-d56b7f7eed2d,28,Percentage of carbon in carbon steel hand instruments is,1-1.2%,10-12%,0.6 to 0.8%,6 to 8%,A,A,1,A,2025-06-08T08:59:33.807706,Dental
4a3f261b-cfd0-40f2-bac2-1337f2937591,29,Pregnancy gingivitis is caused by:,Bacteriodes melaninogenicus,Actinobacillus actinomycetemcomitans,Streptococcus sanguis,Fusobacterium,A,D,0,D,2025-06-08T08:59:35.541061,Dental
8254c1c7-9f97-4dae-96f6-d44661ff36cf,30,What is the basis of behavior shaping:,Stimulus response theory,Social learning principle.,Hierarchy of needs,None of the above.,A,A,1,A,2025-06-08T08:59:37.510458,Dental
5988b3d1-c438-4d16-a887-979dac8bbd10,31,Shortest root of maxillary 1st molar,Distobuccal,Mesiobuccal,Palatal,All are equal,A,C,0,C,2025-06-08T08:59:39.215666,Dental
b12749bc-ed37-4f12-9d45-029e1a0916b0,32,"Which of the following constituents is common in occlusal sealants, bonding agents, composite resins?",BIS GMA,Polymethyl methacrylate,Benzoin methyl ether,Silica filter,A,A,1,A,2025-06-08T08:59:40.657410,Dental
dd210467-68c5-4566-9cad-34e5ffa22bc9,33,Which primary tooth resemble premolar,Upper 1st molar,Lower 1st molar,Upper 2nd molar,Lower 2nd molar,A,C,0,C,2025-06-08T08:59:42.267006,Dental
631db9fb-f930-40f3-a867-273597e5c7f9,34,Pre-carve burnishing is useful for all except:,Bring further excess mercury to surface,Increase surface hardness,Decrease number and size of voids,Marginal adaptation,B,A,0,A,2025-06-08T08:59:43.813346,Dental
59f75254-2953-45a6-9c9a-61dd9a4dc537,35,"Which of the following is used as, surface hardener in Impression material?",2% potassium sulfate,0.2% potassium sulfate,2% sodium sulfate,4% potassium sulfate,A,B,0,B,2025-06-08T08:59:45.351913,Dental
8dd6630c-194f-4a21-a6a3-1a41f97dcd66,36,A 59-year-old female presents with gingival condition punched out crater-like depression covered with membrane which can be pulled off painlessly?,Diphtheritic lesion,Acute herpetic gingivostomatitis,ANUG,Syphilitic lesion,C,A,0,A,2025-06-08T08:59:46.947677,Dental
723bd8c7-6da8-4897-8a1b-dd87891f24a7,37,Bartholins duct is the name of :,Parotid duct,Submandibular gland,Sublingual duct,Lacrimal duct,C,C,1,C,2025-06-08T08:59:48.779366,Dental
70097b1a-1f7a-4c04-ba9e-2f1489f0fb11,38,"The number of dental caries cases reported during last 10 years are given below 250, 320, 190, 300, 5000, 100, 260, 350, 320 and 160. The epidemiologist wants to find out average number of caries cases reported in that town for last 10 yrs. The most appropriate average per this data will be",Arithmetic mean,Mode,Median,Geometric mean,C,A,0,A,2025-06-08T08:59:50.354167,Dental
76ba3417-012e-4bf8-840c-13bb7bc60dcc,39,Teeth that erupt in 30 days of birth,Neonatal teeth,Natal teeth,Premature teeth,None,A,A,1,A,2025-06-08T08:59:52.201430,Dental
f4e1dbce-eb9d-441c-9e1a-6f81ae207faf,40,The soft tissue tooth interface that forms after flap surgery in a previously denuded area is,Long junctional epithelium,Collagen adhesion,Scar tissue attachment,Connective tissue attachment,A,A,1,A,2025-06-08T08:59:53.947312,Dental
ec25740a-5cbb-4b80-9d07-332c2734f5a7,41,The test done for a statistically significant change in cholesterol values in a group of patients following an interventional programme is:,Chi square test,"Paired ""t"" test","Unpaired ""t"" test",Fisher test,B,B,1,B,2025-06-08T08:59:55.849516,Dental
d282f15c-2838-42fd-8841-a94bd92981d9,42,Guiding planes are:,Located adjacent to the edentulous area,Located far anterior to the edentulous area,Helps in the stability of the denture,Provides a different path of insertion and removal,A,C,0,C,2025-06-08T08:59:57.910690,Dental
9823097b-b309-4de3-9a14-d93ff757fd5f,43,Reflex which never disappear:,Walking and stepping reflex,Limb placement reflex,Parachute reflex,All of the above,D,C,0,C,2025-06-08T08:59:59.712527,Dental
8105a0cd-88aa-4c17-9535-7a864b445264,44,Gutta Percha can effectively be sterilized by?,Hot salt sterilizer,Chemical solutions,Autoclaving,Dry heat,B,C,0,C,2025-06-08T09:00:01.814618,Dental
58d38c9d-0440-4077-a581-e86b63ec4ecd,45,This direction of force can cause:,Reduce overbite,Worsen open bite,Both,None,C,B,0,B,2025-06-08T09:00:03.330697,Dental
e8f48ed7-e417-422a-acde-9f7cb2c25416,46,Impression compound is characterized by all the following except:,Warps at room temperature,Is a thermoset material,Shows increased flow when kneaded with water,Low coefficient of thermal conductivity,B,A,0,A,2025-06-08T09:00:05.288319,Dental
db9a6989-4a10-421f-9808-ca852c6f64e6,47,What is common in class I cavity preparation for amalgam and gold inlay?,Buccolingually divergent walls,Mesiodistally divergent walls,Maximum depth is needed in both cases to provide sufficient thickness,All of the above,B,D,0,D,2025-06-08T09:00:06.919706,Dental
153cdf4a-8f6c-4478-8af5-2ef9d7a111b2,48,Periodontal surgery is best performed,4 weeks after completion of the hygienic phase,8 weeks after the completion of the restorative phase,4 weeks before completion of occlusal adjustments,Immediately after the completion of the hygienic phase,A,A,1,A,2025-06-08T09:00:08.407888,Dental
8c968c9b-35b1-4394-959a-fe3c80e283e5,49,Rooting reflex also known as search reflex disappears:,2 month,3 month,4 month,5 month,C,A,0,A,2025-06-08T09:00:10.024727,Dental
58194611-8ffd-4405-83b2-f8e5798b095d,50,"All these are Included In active tissue engineering, except",Antigens fibroblasts,Bilayered cell therapy,Enamel matrix derivative,Acellular dermal matrix,D,D,1,D,2025-06-08T09:00:11.643032,Dental
b0851fb1-a52d-49f5-bfd3-ae48a58c060a,51,Which of the following type of tongue thrusting has the worst prognosis?,Simple,Complex,Retained infantile swallow,All of the above,C,B,0,B,2025-06-08T09:00:13.259867,Dental
3419bb2a-2a24-4ddc-b217-ee00b981afeb,52,Optimal location for intra osseous anesthesia for mandibular second molars is,Distal to the molar,Mesial to the molar,In the furcation area,Apical perforation and injection,B,D,0,D,2025-06-08T09:00:15.213410,Dental
11efa366-1d2d-48a8-a247-a362a0447140,53,"After cleaning and pumicing the tooth surface, plaque formation takes place within",A few minutes,1/2 to 1 hour,2 to 4 hour,After 1 hour,B,A,0,A,2025-06-08T09:00:16.869275,Dental
c5b472d1-468e-437e-97fc-9b1c2411af53,54,"What we will define it ""ratio of no. of death under 1 year of age to total live birth per 1000 live births per year""?",Infant mortality rate,Child mortality rate,Child morbidity rate,Life expectancy rate,A,A,1,A,2025-06-08T09:00:19.383276,Dental
e4610f09-b587-47c8-99ff-c8967f481322,55,"The necrotising pressure areas, undergoing bone resorption and endosteal bone formation",Juvenile periodontitis,Occlusal trauma,Chronic suppurative periodontitis,ANUG,B,D,0,D,2025-06-08T09:00:21.125494,Dental
e1eb342e-fe1e-49b1-a9d7-f8400b419aa6,56,Pre-maturity in edge to edge position is relieved by reducing:,Mandibular incisal edge.,Maxillary lingual fossa.,Both AB,Either AB,A,A,1,A,2025-06-08T09:00:23.012517,Dental
73818dbb-2bd3-4c46-a06a-b18b6ddb5450,57,"According to WHO classiﬁcation of periapical pathology, sinus to oral cavity comes  under:",4.6,4.6,4.61,4.62,D,C,0,C,2025-06-08T09:00:24.676879,Dental
6eb7d429-53f8-4d51-b861-81ab063b0973,58,Resin teeth:,Show a high compressive strength,Contraindicated in patients with decreased inter occlusal distance,Show crazing,Show a high fracture strength,D,C,0,C,2025-06-08T09:00:26.716201,Dental
362a094c-f1d9-4faa-97ab-48242be3dd4b,59,Zone of stimulation contains all except:,Fibroblasts,Osteoclasts,Osteoblasts,New bone formation,B,B,1,B,2025-06-08T09:00:28.954831,Dental
00667233-3ef5-4759-bac2-850f41c6cdfc,60,Minimum number of lobes require to form a tooth,1,2,3,4,A,A,1,A,2025-06-08T09:00:30.916032,Dental
e6b676f8-26ba-42f6-9bd2-739abf1c039a,61,In the odontoblastic layer the following connections is/are found,Zona adherens,Gap junctions,Zonula occludens,All of the above,D,B,0,B,2025-06-08T09:00:32.368065,Dental
0ada062a-c400-4012-af5e-31144ba41401,62,Scammon's growth curve. False is,Neural tissues-Most of the growth is completed by 6 years,Lymphoid tissues — growth reaches 200%  by age 13 and regresses afterwards,Genital tissues — most of the growth is completed by the age of puberty,None of the above,C,A,0,A,2025-06-08T09:00:34.168286,Dental
32cf44b6-600a-4ea1-ab8a-15696485643e,63,Most common extraradicular microorganism is/ are:,Actinomyces species.,Propioni bacterium.,Propionicum.,All of the above.,D,A,0,A,2025-06-08T09:00:36.172075,Dental
b21a38b8-c966-425a-a140-9ff775745931,64,Least condensation pressure is required in:,"Spherical amalgam alloy, high copper","Admixed amalgam alloy, high copper","Admixed amalgam alloy, low copper",Lathe cut alloy,A,A,1,A,2025-06-08T09:00:37.764364,Dental
769b87a2-ecb8-4508-82d5-4fde94fa7f60,65,A child spends 8 years of life in a temperate climate where the drinking water had fluoride of 3 ppm. The teeth that are effected are:,All primary teeth,"All permanent teeth, except third molars","Incisors, canines, premolars and third molars",Only molars,B,B,1,B,2025-06-08T09:00:39.311217,Dental
2cc9a274-380c-4a8e-b2b6-6c8ae412c55b,66,The ideal instrument that is used to widen the canal is,Broach,File,Fissure bur,Reamer,B,B,1,B,2025-06-08T09:00:41.395923,Dental
1d7028cb-08b7-422e-8feb-26392e8f97dc,67,"According to instrument formula given by G.V. Black, primary cutting edge angle should be:",More than 50 degree,More than 90 degree,Less than 50 degree,Less than 90 degree,A,C,0,C,2025-06-08T09:00:43.013107,Dental
71166b66-1d91-490c-8bf2-ff1a44fc6ba5,68,Which of the following is not true for incubation period?,For determining isolation period of a disease,To prevent infection among contacts,For quarantine of disease,To differentiate among secondary cases and co-primary cases,A,D,0,D,2025-06-08T09:00:44.734214,Dental
9663a6e9-55d1-4a7e-8af9-556a6478688d,69,Treatment of ANUG utilizes all except:,Debridement,Oral hygiene,Penicillin,Topical steroid,D,D,1,D,2025-06-08T09:00:46.376411,Dental
e9adae98-f03e-4451-bd05-750e85d15ca2,70,Pulp proper contains,Large Blood vessels,Nerve fibers,Fibroblasts,All of the above,D,D,1,D,2025-06-08T09:00:47.877694,Dental
79c95aee-a0ff-4f7a-8a3f-2228f0ca66ce,71,"Which of the following is used as a bio-degradable membrane in ""guided tissue regeneration"" process?",Polylactic acid,Poly tetrafluoroethylene,Millipore,Core membrane,A,A,1,A,2025-06-08T09:00:49.460171,Dental
58d83508-8ad5-4137-a215-d6b084f49e3c,72,Bone sounding done in modern times is performed by which method?,RVG,Probing,CBCT,Radiovisiography,C,C,1,C,2025-06-08T09:00:51.278054,Dental
d384e3c5-1ec0-4c7d-b7c2-ec9fd223f3e3,73,Jaw or tooth apart swallow is:,Infantile swallow.,Mature swallow.,Both,None.,A,B,0,B,2025-06-08T09:00:52.986137,Dental
d4e13d7b-8ca9-447e-b93d-e8b86afd017a,74,Classify the class of recession:,Class 1,Class 2,Class 3,Class 4,C,C,1,C,2025-06-08T09:00:54.677219,Dental
5bc29ae1-a1a8-4c3b-a11e-e469be9f0640,75,Which is not a type of Gracey curvettes?,# 1-2,# 11-12,# 13-14,# 5-16,D,D,1,D,2025-06-08T09:00:56.499475,Dental
1359605e-c8e4-4847-b8b6-eb1500b5356f,76,Which ion of hydroxyapatite crystals is substituted by Fluoride imparts more strength?,Hydroxyl ion,Calcium ion,Phosphate ion,None,A,A,1,A,2025-06-08T09:00:58.711478,Dental
51baa169-5c84-4d0e-94fb-d21279cea570,77,Cleaning of base metal alloy is done by,Warm HCl,Cold HF,Cold H2 So4,Sand blasting with aluminium oxide,D,D,1,D,2025-06-08T09:01:00.276179,Dental
951a385e-d512-4613-a822-443f1f429ab9,78,Who was associated with second amalgam war?,G V Black,Charles bell,Huggins,Alfred stock,D,A,0,A,2025-06-08T09:01:01.741807,Dental
a4260f2f-ca39-4778-90a9-87064c39a11c,79,"In Mount and Hume classification, what will be the site size of the following lesion?",2.1,2.2,3.1,3.2,C,C,1,C,2025-06-08T09:01:03.418143,Dental
2e264a60-ba19-4880-bc92-5c42c121eee8,80,Extraction of 3rd molar tooth bud in 7-9 yr old child:,Improves growth of maxilla,Causes excessive damage to the mandible,Results of future orthodontic treatment are	improved anterior teeth,Results in less crowding,D,D,1,D,2025-06-08T09:01:04.857835,Dental
ef09a789-e189-42dc-a0fb-70da2c5ca170,81,The best finish line for anterior metal ceramic crown is,Chamfer with bevel,Heavy chamfer,Shoulder,Shoulder with bevel,D,C,0,C,2025-06-08T09:01:06.560677,Dental
01731260-fa5c-45ae-bbf3-5aed1b1cb9b9,82,Which of the following are the predominant connective tissue cells of the periodontal Ligament?,Cementoblasts,Fibroblasts,Osteoblasts,Rests of Malassez,B,B,1,B,2025-06-08T09:01:08.024902,Dental
54d61676-f03f-4c52-a706-26481e10ec98,83,One of the most common side effects of phenytoin is,Gingival Hyperplasia,Gingival Necrosis,Dental stains,Hypertension,A,A,1,A,2025-06-08T09:01:09.708485,Dental
39ddbf97-8946-4e0b-9236-156755b4b31f,84,Freedom of centric relation correlates with,0.15 - 1.5 mm,0.20 - 0.40 mm,0.5 to 1.5 mm,1 to 2 mmm,C,C,1,C,2025-06-08T09:01:11.243584,Dental
aff4bd90-ab90-45b7-8ef7-2b02c25da7ad,85,School based dental health care for whole country is adopted by which of the following country?,USA,NewZealand,Sweden,Australia,B,A,0,A,2025-06-08T09:01:12.852566,Dental
3146c248-2dd4-4888-99c9-bafda2fa1ec7,86,Ashley-Howe model analysis is used to predict:,Tooth material excess,Maxillo-mandibular relationships,Basal bone-transverse relationship,Growth prediction,C,B,0,B,2025-06-08T09:01:14.293222,Dental
0c826104-685f-4601-beb6-d9d102c15cbd,87,"In processing methyl methacrylate, the resin may show porosity if the flask is placed too soon. Porosity most likely occur",Throughout the denture,Near the borders,In the thickest part,On the denture surface,C,A,0,A,2025-06-08T09:01:16.033942,Dental
55028fba-fc8a-4c77-ad53-33e7cebc34e6,88,Fourth generation apex locater based on,Resistance,lmpedence,Frequency,Multiple frequency ratio,D,D,1,D,2025-06-08T09:01:17.477976,Dental
f3022374-f442-471a-b015-f438366b61e3,89,Greatest potential hazard of mercury toxicity occurs due to:,Skin contact with mercury,Inhalation of mercury vapours,During amalgam restoration,Ingestion of amalgam scrap during removal,B,B,1,B,2025-06-08T09:01:19.148271,Dental
24a53b0f-d1b7-4ef8-8b9c-1d3b857aa413,90,Tooth with smallest root,Mandibular central incisor,Mandibular lateral incisor,Maxillary lateral incisor,Maxillary 1st premolar,A,A,1,A,2025-06-08T09:01:20.899651,Dental
7ddf1f3b-5c7c-4f2d-b208-f01ea72e1a70,91,The function of a sprue is to,Form an opening for molten metal to enter the mold,Help polish cast restorations,Eliminate air bubbles on the wax pattern,Reproduce fine detail,A,A,1,A,2025-06-08T09:01:22.711215,Dental
d8178128-49db-4790-aa08-7c49e8e7ad5f,92,Access cavity of mandibular 1st molar is:,Oval,Rounded triangle,Rhomboid,None of the above,B,A,0,A,2025-06-08T09:01:24.951508,Dental
e9f104f9-2231-4a49-b5a6-983ca6e08c49,93,A pier abutment is:,Periodontally weak abutment,With an edentulous space on mesial and distal sides of the abutment,Edentulous space on one side of the abutment,Abutment adjacent to edentulous space,B,D,0,D,2025-06-08T09:01:26.486786,Dental
e21be124-85de-4313-bc26-ff82218fce73,94,Which of the following pulp horn of primary molar is commonly exposed during restorative procedures:,Mesiobuccal puplhorn of 1st molars.,Distobuccal pulp horn of 1st molars.,Mesiobuccal pulp horn of 2nd molars.,Distobuccal pulp horn of 2nd molars.,A,A,1,A,2025-06-08T09:01:28.230373,Dental
70069985-3660-4a24-b55c-c689592bc9a3,95,Rate of Dentinal fluid permeability depends on all except?,Temperature variation,Pressure gradient across dentinal tubule,Increase viscosity of dentinal fluid,Rate of removal of substances by blood vessels,A,D,0,D,2025-06-08T09:01:30.288533,Dental
a2a5e8a4-ab54-45c1-b50b-5cd81d4f5af8,96,Fourth generation meth-acrylate based resin sealer include?,Endorez,Resilon,Hydron,Real Seal E,D,D,1,D,2025-06-08T09:01:31.734808,Dental
dee8c0a8-bcc0-4f67-815f-4a7b1c0963bc,97,Localized Juvenile Periodontitis- primary pathogen is,Acinobacillus Actinomycetemcomitans,Prevotella intermedia,Mycoplasma,all the above,D,A,0,A,2025-06-08T09:01:33.296716,Dental
2ef6a0de-c83f-461e-93c9-88f38320bf5e,98,While preparing a Class II cavity on a maxillary first molar which of the pulp horns are likely to get exposed:,Mesiolingual and mesiobuccal,Distolingual and distobuccal,Mesiolingual and distobuccal,Distolingual and mesiobuccal,A,A,1,A,2025-06-08T09:01:34.874805,Dental
d3629a0f-c519-46c6-bb27-a33adc0ac0fc,99,Additional period required for enamel calcification after eruption into oral cavity,1 yr,2 yr,3 yr,4 yr,B,B,1,B,2025-06-08T09:01:36.390711,Dental
743b8121-1201-4592-a552-25cad3198d07,100,"The yellowish white soft sticky deposit loosely adherent
present on tooth surface is",Materia alba,Food debris,Plaque,Calculus,A,A,1,A,2025-06-08T09:01:38.020990,Dental
34f8fb1a-a365-40d0-a804-6b061a9a04f5,101,Point used as termination of Root canal procedure is,Apical constriction,Apical foramen,Both,None,A,A,1,A,2025-06-08T09:01:41.165005,Dental
a9dccfec-0882-4012-aa1b-e74bb18bf47e,102,Lenolin is added in ZOE paste to:,Decrease flow,Increase flow,Accelerate reaction,Decrease irritation due to eugenol,B,A,0,A,2025-06-08T09:01:42.758312,Dental
8a8401da-6bcd-46d5-bf27-72371291311e,103,Which of the following is not transmitted by lice,Q fever,Trench fever,Relapsing fever,Epidemic typhus,A,A,1,A,2025-06-08T09:01:44.313947,Dental
991ff4a7-4adc-4136-854d-b6c007d5d1be,104,Winged rubber dam retainer in endodontics advantages are all except,Radiographs are good showing full length of canals,Stability,Provide extra bucco-lingual retraction,"Dam, clamp and frame placed in one operation",A,A,1,A,2025-06-08T09:01:46.011352,Dental
da80560b-dc14-4a57-ba81-cee414172692,105,"A 11-year-old child comes to the dental office one hour
after injury to a maxillary central incisor. The tooth is
vital and	slightly	mobile.	Radiographic	examination
reveals a fracture at the apical third of the root. What is
the best treatment at this point of time:",Render palliative therapy,Extract the tooth,Relieve the occlusion and splint the tooth,Perform immediate root canal treatment and splint,C,C,1,C,2025-06-08T09:01:47.987829,Dental
76e1d3a2-90b6-4735-be99-004263456619,106,Resistance form of endodontics is:,Resists movement of gutta-percha in apical area,To allow use of spreader in lateral condensation,Fracture of root while vertical condensation,None of the above,A,B,0,B,2025-06-08T09:01:49.662281,Dental
9ce14fee-cf4f-4066-b94f-361bd7165049,107,Which material is the most difficult to remove from the patient's mouth?,Metallic oxide paste,Silicone impression material,Reversible hydrocolloid,Impression plaster,A,D,0,D,2025-06-08T09:01:51.241610,Dental
206f23c8-9973-48b9-9f26-2601d4d61e25,108,Main cause of RPD failure is:,Improper clasp design,Insufficient contact of teeth,Insufficient contact of teeth and improper clasp design,None of the above,C,C,1,C,2025-06-08T09:01:52.700947,Dental
2b1e65d8-098f-4bf9-9511-aa5f87b0af89,109,"In multirooted teeth, formation of multiple roots is due to presence of:",Epithelial diaphragm,Cell rests of Malassez,Toot bud division or bell stage,None of the above,A,C,0,C,2025-06-08T09:01:54.339141,Dental
1163160d-9432-4143-98af-ef59704fc876,110,"In Down syndrome patient, which teeth have severe periodontitis",Lower Anterior,Upper Anterior,Upper Molar,Lower Molar,A,C,0,C,2025-06-08T09:01:55.890332,Dental
73dc80de-280f-4ee5-bc41-b1843e16a16d,111,"On the day following a formocresol pulpotomy of a
mandibular molar, a three year old patient returned with
a large ulcer near the midline of the lower lip. What is
the probable cause of the ulcer?",Lip biting by the patient,Allergy to the anaesthetic solution,Pressure by the rubber dam frame,Leakage of formocresol on the lip,A,D,0,D,2025-06-08T09:01:57.658470,Dental
7655a989-3ec8-4f83-a2ea-a1a2527d483e,112,"The radiographic examination of a traumatized tooth is
essential -",To establish baseline data,To find associated root fracture,To determine stage of root development,All of the above,D,D,1,D,2025-06-08T09:01:59.203006,Dental
c1e4be05-7faa-4d6a-9d3a-5c825129daaf,113,The lag phase of tooth movement usually lasts for:,2-3 mins,2-3 hrs,2-3 day,2-3 weeks,D,C,0,C,2025-06-08T09:02:01.125861,Dental
48d70d58-19bb-4648-b72b-d49e9cbb0147,114,"Which of the following is a common osseous lesion in
periodontitis is",Exostosis,crater,buttressing bone,hemiseptum,B,B,1,B,2025-06-08T09:02:02.764154,Dental
e0952660-983f-4990-a8c6-d6b6bc19aca3,115,Which of the following groups of fibres are not attached to alveolar bone?,Transseptal,Horizontal,Oblique,Apical,A,A,1,A,2025-06-08T09:02:04.232348,Dental
8d8150e4-2224-4ac1-b41e-b8353a744dcc,116,First nerve fiber present in vicinity of dental papilla in,Bud stage,Cap stage,Bell stage,Advanced Bell stage,A,A,1,A,2025-06-08T09:02:05.439320,Dental
611828ae-4acf-4177-bc88-fd78e72a9a3e,117,Primary Colonization of plaque is dominated by,Facultative Aerobic Gram + ve rods,Facultative Anaerobic Gram - ve rods,Facultative Aerobic Gram - ve cocci,Facultative Anaerobic Gram + ve cocci,D,D,1,D,2025-06-08T09:02:07.114091,Dental
