question_id,question,correct_option,predicted_answer,is_correct,response
0c826104-685f-4601-beb6-d9d102c15cbd,"In processing methyl methacrylate, the resin may show porosity if the flask is placed too soon. Porosity most likely occur",C,C,True,C
55028fba-fc8a-4c77-ad53-33e7cebc34e6,Fourth generation apex locater based on,D,D,True,D
f3022374-f442-471a-b015-f438366b61e3,Greatest potential hazard of mercury toxicity occurs due to:,B,B,True,B
24a53b0f-d1b7-4ef8-8b9c-1d3b857aa413,Tooth with smallest root,A,B,False,B
7ddf1f3b-5c7c-4f2d-b208-f01ea72e1a70,The function of a sprue is to,A,A,True,A
d8178128-49db-4790-aa08-7c49e8e7ad5f,Access cavity of mandibular 1st molar is:,B,C,False,C
e9f104f9-2231-4a49-b5a6-983ca6e08c49,A pier abutment is:,B,B,True,B
e21be124-85de-4313-bc26-ff82218fce73,Which of the following pulp horn of primary molar is commonly exposed during restorative procedures:,A,D,False,D
70069985-3660-4a24-b55c-c689592bc9a3,Rate of Dentinal fluid permeability depends on all except?,A,D,False,D
a2a5e8a4-ab54-45c1-b50b-5cd81d4f5af8,Fourth generation meth-acrylate based resin sealer include?,D,D,True,D
dee8c0a8-bcc0-4f67-815f-4a7b1c0963bc,Localized Juvenile Periodontitis- primary pathogen is,D,A,False,A
2ef6a0de-c83f-461e-93c9-88f38320bf5e,While preparing a Class II cavity on a maxillary first molar which of the pulp horns are likely to get exposed:,A,D,False,D
d3629a0f-c519-46c6-bb27-a33adc0ac0fc,Additional period required for enamel calcification after eruption into oral cavity,B,B,True,B
743b8121-1201-4592-a552-25cad3198d07,"The yellowish white soft sticky deposit loosely adherent
present on tooth surface is",A,A,True,A
34f8fb1a-a365-40d0-a804-6b061a9a04f5,Point used as termination of Root canal procedure is,A,A,True,A
a9dccfec-0882-4012-aa1b-e74bb18bf47e,Lenolin is added in ZOE paste to:,B,D,False,D
8a8401da-6bcd-46d5-bf27-72371291311e,Which of the following is not transmitted by lice,A,A,True,A
991ff4a7-4adc-4136-854d-b6c007d5d1be,Winged rubber dam retainer in endodontics advantages are all except,A,A,True,A
da80560b-dc14-4a57-ba81-cee414172692,"A 11-year-old child comes to the dental office one hour
after injury to a maxillary central incisor. The tooth is
vital and	slightly	mobile.	Radiographic	examination
reveals a fracture at the apical t...",C,C,True,C
76e1d3a2-90b6-4735-be99-004263456619,Resistance form of endodontics is:,A,B,False,B
9ce14fee-cf4f-4066-b94f-361bd7165049,Which material is the most difficult to remove from the patient's mouth?,A,D,False,D
206f23c8-9973-48b9-9f26-2601d4d61e25,Main cause of RPD failure is:,C,C,True,C
2b1e65d8-098f-4bf9-9511-aa5f87b0af89,"In multirooted teeth, formation of multiple roots is due to presence of:",A,A,True,A
1163160d-9432-4143-98af-ef59704fc876,"In Down syndrome patient, which teeth have severe periodontitis",A,A,True,A
73dc80de-280f-4ee5-bc41-b1843e16a16d,"On the day following a formocresol pulpotomy of a
mandibular molar, a three year old patient returned with
a large ulcer near the midline of the lower lip. What is
the probable cause of the ulcer?",A,D,False,D
7655a989-3ec8-4f83-a2ea-a1a2527d483e,"The radiographic examination of a traumatized tooth is
essential -",D,D,True,D
c1e4be05-7faa-4d6a-9d3a-5c825129daaf,The lag phase of tooth movement usually lasts for:,D,D,True,D
48d70d58-19bb-4648-b72b-d49e9cbb0147,"Which of the following is a common osseous lesion in
periodontitis is",B,B,True,B
e0952660-983f-4990-a8c6-d6b6bc19aca3,Which of the following groups of fibres are not attached to alveolar bone?,A,A,True,A
8d8150e4-2224-4ac1-b41e-b8353a744dcc,First nerve fiber present in vicinity of dental papilla in,A,D,False,D
611828ae-4acf-4177-bc88-fd78e72a9a3e,Primary Colonization of plaque is dominated by,D,D,True,D
83935f21-0298-409f-aabc-ac42dc4c0e00,Types of pocket respectively:,A,A,True,A
d053ff7a-d056-4da2-b124-68610654796f,Depression of mandible is achieved by:,D,D,True,D
565d9d77-689a-4e68-bd65-7016980692ba,"The	cotton	applied	to	the	pulpal	stumps	in	the
formocresol pulpotomy technique should be",A,B,False,B
1cecd58f-d0c8-446a-adf8-d07dd796ec0e,Landmark for pup chamber opening is :,A,A,True,A
e3840b78-8e45-4c14-83da-2a1ed7178d7e,Which of the following is used for etching porcelain?,C,C,True,C
80ca7074-85db-4ead-9b69-23c32b811d94,Halo effect surrounding the root of tooth on IOPA X-Ray is seen with?,D,A,False,A
0bac3e65-9fec-4c0b-b29e-251ebc04aec0,A temporary bridge constructed from a synthetic resin,D,A,False,A
36926004-cb1c-46b4-a6b2-f12c13dd8ab3,What is the thickness of cement-dentinal junction?,B,B,True,B
04adb80a-e020-4328-a871-e403f6d5861f,Which of the following appliances is not used for slow maxillary expansion?,D,D,True,D
d321d320-c06f-4d18-9aa2-dae718851dfd,For how long should NiTi files be submerged in NaOCl at 122-degree F to prevent damage to file corrosion,C,A,False,A
a8be5273-87e4-42d6-bdd2-e3ce0ba892c1,True about meningococcal vaccine is -,A,A,True,A
6ccd520c-4355-48c5-8635-66b64dd157f1,Antempasterior relation of jaws is measured by:,A,A,True,A
2e4dea82-5bec-438e-a674-0f317e467e70,Gold Standard for evaluation of any obstruction in the nasal pathway:,C,C,True,C
ef077628-a770-4538-9639-2162ba1fcdcf,Which of the following is the common factor for the initiation of both dental caries and periodontal disease,A,A,True,A
b7021f6a-0299-49df-a478-009fe45c5d92,Hidden X suture proves to be a novel suturing technique for:,A,D,False,D
7d79778c-de93-4463-b0d4-13ae234adaa8,"Denture cleaning tablets include all, EXCEPT",A,A,True,A
4135c1a9-44e4-4872-a329-3cc4b7c1a587,Which of the following is common to both zinc eugenol cement and polycarboxylate cement?,C,C,True,C
de4374af-70ba-41e4-b46a-5159e73a690e,In full tooth borne dentures occlusal rests transmits _________ percentage of occlusal forces to teeth:,D,A,False,A
ee904a2e-7494-46ef-b976-22be596ed44f,Subantimicrobial dose of doxycycline is,A,A,True,A
0215b959-5db1-413b-b23e-466268b727ce,In mandibular primary second molar true statement is,B,C,False,C
7cca234a-7ab2-4afa-980e-6772bf3c3f31,The advantage of ultra speed hand piece is:,B,B,True,B
ed4c848b-b400-4d78-9c27-417bb44cced3,Highest incidence of atypical root canal or root among all teeth is seen in,A,A,True,A
c3a007df-7c45-4ef1-a1b9-9814f4045ad2,The microwave method of processing resin is better than the conventional in that it provides:,B,B,True,B
f84f7b85-5106-4170-a49c-de1d0bc8bc7c,Example of excavator are all except:,C,D,False,D
00aa1776-c20f-40c5-9412-11932a24f9bf,Strain is defined as:,B,B,True,B
769fac02-71ac-4554-bade-5d6a9a5edfb4,Which cement is irritating to the pulp?,C,C,True,C
9a4a67be-7443-404f-b8fe-48173b84046b,Is it possible to remove centric interference and working interference by reducing supporting cusps in natural dentition:,C,C,True,C
c68dea51-2e4e-4276-89b2-30b2337be400,"When a dentist says that "" I cannot fix your teeth if you do not open your mouth wide:"" He is employing:",A,B,False,B
0fd4145e-dd41-4526-be14-77e4dc457b1d,Metallic taste is due to SnF in saliva is,C,A,False,A
75394ad7-5dde-4b6b-8cec-7365972b5dd6,"Fluoride pit and fissure sealants belong to which
generation?",D,B,False,B
2e8bf810-fae5-49c4-8d7d-b27d8073d414,Which of the following is true about Catlan's appliance?,B,D,False,D
0209aeca-8c86-4341-afbf-d702a7f4f47c,Which teeth are least involved in periodontitis?,B,B,True,B
6b3b112c-3f6a-4f33-afe6-421e410a1700,Production and citation impact of published work of a scientist or scholar,B,C,False,C
b84028e6-34ae-44f6-9deb-10d9122d592f,Ig in GCF?,C,C,True,C
8db1c114-d051-431f-93d1-4a7f2ae7d2a6,The function of compensating curve is,A,A,True,A
bbe12324-c347-478e-b5bb-9a39e8969571,Hammock ligament is present:,C,B,False,B
7c79a7f1-20d7-4205-a05a-f974ecc2186c,Centric holding cusp is?,D,B,False,B
bdc7d080-b3a4-4edb-acc4-08a35d181e75,Pickling is done:,A,A,True,A
a0c6e73e-5ed5-42b5-a71c-24e031f7e7e8,Soft tissue curettage is used for:,A,D,False,D
c1ad828e-687d-4f0b-b014-9b0b5555548e,All are true about RVG except:,D,D,True,D
62b9add2-a5e9-451f-92c2-2eee629ee143,"A 4 year old child sustained a fracture in central incisor one month ago. On examination, a necrotic pulp was seen with no other pathological findings. The treatment of choice is:",D,D,True,D
0915d8e7-21e1-4755-99a0-ac45b259c408,Bias that arises from evaluating data on patients and hospital records only such that probability of exposure to a particular factor is increased is known as:,A,D,False,D
bd9727ab-e559-41ba-9006-304697e2c9b7,Pickling:,C,C,True,C
4cb6b49b-3422-4add-9f90-7a7d6678be62,"In examining the edentulous mouth of an aged patient wearing complete maxillary denture against six mandibular teeth, the dentist will see:",B,B,True,B
541cbd4f-c0d8-43b8-bebe-9fabaa9023cd,How many scores are used in modified Dean's ﬂuorosis index?,B,B,True,B
b81486a0-3a2d-447b-b740-7d086488d10c,More than 80% cephalic index of a patient indicates which of the following,A,A,True,A
149a2ddf-56f1-431b-ba74-5ba05950ae9e,"Divergence from contact area in proximal surfaces
causes embrasures:",D,D,True,D
f90856e7-a924-43b9-9e08-89b95508c61f,Retromolar pad:,B,B,True,B
56889b42-0d93-428e-bc1e-b4e7432944a7,Extra retention in abutment teeth is obtained with:,B,B,True,B
815a13ca-72f8-4964-8732-04f03b313aa4,Sonic frequency range is:,B,B,True,B
4a7410ad-78f0-457e-abf9-b5beb5ec4a1c,Cause of apical periodontitis is/are:,D,A,False,A
3c7f7351-8925-4c0e-89e7-1d4b8e806797,"Which of the following series act as the best space
maintainer in a child's mouth?",A,D,False,D
10bc576b-b04f-41cf-ba0f-f6536df45ca2,"Of all the solvent used to dissolve Gutta Percha, safest & efficacious G.P. solvent is?",B,B,True,B
bf4732f0-2a61-4911-8463-11e3bee37870,The primary action of topical fluoride is a:,A,A,True,A
4329bad6-ab20-42bc-8cb5-b89601d7bdee,Gingival massage increases blood supply in:,C,C,True,C
3b514c9e-965c-463a-b141-9dcecd91c957,Initial calcification of crown represents Which Nolla's stage:,B,B,True,B
2b325080-a90d-4813-b2bd-cfa4fa246c27,Plastic carrier size of 40-90 in carrier base Gutta percha are made from?,B,B,True,B
22f5d1c3-8073-452a-937e-63414dc5065e,All of the following are true for light cure composite except:,C,C,True,C
6e76c806-14b1-49b3-a6f9-898a83447e54,Acromegaly is associated with,D,D,True,D
c2f14586-a3c9-42c3-8b6a-d287acf43802,The appropriate force required to tip a tooth is:,B,B,True,B
43d111d5-07dd-464c-88c4-c14a27b9f6be,Which of the following is function of fluoride flux in soldering process?,B,B,True,B
28b161b6-372b-497e-828b-1321193679c7,"The forces acting through a fixed partial denture on the
abutment tooth should be directed:",B,B,True,B
0849c1f4-59c8-4984-bbf5-bbe26d241f17,The tipping of a tooth results in the fibers of the PDL to be:,C,C,True,C
d8458f0b-fe46-465b-9f9d-85ff2379f6e1,"Term ""Clean Tooth Never Decays"" given by",B,A,False,A
8ad57c73-2ace-4454-810b-03aebb65f424,Reactive oxygen metabolite in lysosomes is released by,B,B,True,B
91670015-d49a-46d1-9ca2-925f832c300e,Square root of pq/n indicates:,C,C,True,C
fac1c57f-f361-406f-a09e-007278ccec16,"Which of the following should be treated by using a 
tissue conditioner material?",C,C,True,C
f3a56182-648b-4ca9-9e60-6ef497b1b54f,Sensitivity in gingival area of class II light cured composite restoration after 2 months is due to:,A,B,False,B
961cefc7-4740-4428-89fc-32f3782b5f5d,Which dentifrices should be used for periodontal patients?,C,C,True,C
dcefed9b-19be-4331-ac01-6876e7d194f4,Which of the following bacteria is responsible for progression of dental caries:,B,C,False,C
bb51425d-0636-48c5-89ca-4358036b933b,If multiple firing is done to opaque layer of dental porcelain than It become,B,D,False,D
3298a422-a9d1-4c22-969e-7141e50e8552,"Distolingual extension of the mandibular impression for 
a complete denture is limited by the action of:",D,B,False,B
723bfe80-93c4-411e-8fcf-d6d99cb53ef0,"If 2 Implants of size 4 mm are to be placed in a ridge, what should be the minimum width required in the ridge",A,A,True,A
4ffc9c91-2230-44f7-826f-91b8d683ab20,Most common phobia in chilhood:,A,B,False,B
a078a54d-e02d-43f3-8d18-a64ee201c427,The finish line used in complete metal cast crown is:,A,A,True,A
bebb654f-88d5-4a1f-a9fb-dd65b42beeca,In carrier base gutta percha the plastic carrier size of 40- 90 are made by?,D,B,False,B
dce755d7-6fd9-4ec6-b136-74ead349da24,The carat for Au foil used for restorations is:,D,D,True,D
549d38f4-993a-4009-ae9c-c0a7638437e8,What should be ideal depth of MTA for root end filling material?,B,B,True,B
498c62ec-aed7-45cd-a1c4-d3415bdaf58c,The advantage of glass ionomer cement reinforced with metal particles is:,B,B,True,B
2cacbd66-ae8e-45cc-85b8-6242487724b6,"The disturbances occurred during ""Calcification"" stage of tooth development is seen in:",D,D,True,D
112694f0-3fab-4d28-84a7-ebf4721eee1b,All of the following affects bur efficiency except:,B,C,False,C
d49f81a6-24c9-40e0-952f-8ff63eb6947d,Oral prophylaxis is contraindicated in:,D,D,True,D
7bfc7fbd-3b3d-42a0-b444-5ed198020986,The cross section of the root most prone to vertical root fracture is,B,B,True,B
fb4ea4bd-0f5f-40fa-b377-d0ae72b374a1,"In which of the following conditions oral screen should
not be used:",C,C,True,C
abacb436-6502-43f9-898a-0c41ef550423,Type of mouth breathing can be:,D,D,True,D
586daa2f-3bc5-4a48-8da5-21374ee1bf07,The order of caries susceptibility of primary teeth is:,A,B,False,B
17ac8fd0-4e2e-41f5-8a01-93d34668a77e,Which of the following event has little or no significance?,A,A,True,A
5f65e5aa-a984-49bd-aad6-0292fa0e07d8,"On rubber dam application gingiva is seen protruding out of margins, it can be seen due to?",D,D,True,D
dc8f8f08-ca45-4ad5-ad3f-278eb9e2bd49,Which of the following best describes the resistance form in endodontic root canal preparation?,A,C,False,C
63f0f575-0417-4352-94c2-2a8055fe3739,Which of the following statements about high copper silver alloy compared to conventional alloy is not true?,B,B,True,B
eae21df0-06e3-49cb-a1f0-1ac41966e11a,The first instrument used on the facial surfaces of gingiva while gingivectomy is:,B,D,False,D
f22298ec-ab82-48ba-b238-b99bc3ea35d3,Internal occlusal rest provided in partial denture does not provide:,B,B,True,B
a78209a5-9800-45d5-9cab-4838388d53e7,Resistance to corrosion in a cobalt-chrome casting is due to presence of:,B,B,True,B
fb834019-2bb9-4944-a0a0-0121cc6156fb,For statistical test output of p value is interpreted as,A,A,True,A
7254944a-e40f-40ee-931d-8769dd163301,What is the most frequently used restorative material?,B,C,False,C
4bb5fc70-f901-4508-bc36-39e1f0b6898f,Anterior 2/3rd of tongue is supplied by,A,A,True,A
b5177811-b859-4340-9094-b587f8b10f7b,What percentage of cases of mandibular incisors have single apical foramen,A,D,False,D
e4e65063-c1b6-43c7-9dbc-f18bffde95aa,Condensation shrinkage of porcelain during firing depends on:,C,C,True,C
862bcd0f-8fb5-4ff7-b242-5898ea4f0c69,The non-invasive method to measure the blood flow is:,D,D,True,D
3b34bdec-e2d7-49d8-9b10-ec35a323b491,Which of the following analysis helps in determining the disproportion in the size between maxillary and mandibular teeth?,B,B,True,B
63be6ad9-c40b-4731-8733-9bbe611387d2,All of the following are disadvantages of composite restoration except:,D,D,True,D
031bf440-dc4a-4278-8ab5-1237ab831337,Which of the following is common to both zinc oxide eugenol cement and polycarboxylate cement?,C,C,True,C
d78f3997-44bd-4b80-acd5-ac1b36c33cf2,"For intrusive luxation injuries, ﬁxation period is about:",B,D,False,D
0d562f06-f38e-4bf3-b1db-f06f0545de1b,The function of posterior palatal seal is:,C,C,True,C
eed5fad1-cadf-4372-b81e-1cbd51b198ac,All of the following are true about property of polymethyl methacrylate except:,D,B,False,B
762c8e46-a58b-4a23-b03d-f5d2055a3fac,A lateral sliding flap done on a tooth with roots denuded for 6 years will show,C,C,True,C
a8e272d3-7afc-4864-a7ca-84e2d6fa0569,Core built up on a molar tooth should preferably be done with a chemically cured composite as:,D,D,True,D
3624f5cd-a2a5-4f5f-9b7e-ee57ea1b3c4a,A patient who has recently received a pair of complete denture complains of difficulty in swallowing. The reason for this is most likely to be:,A,A,True,A
dd835fff-6a22-4d99-8d97-6d3524548997,Hardness of stone surface is affected by?,C,C,True,C
6533b64b-cf1f-434d-98a4-7b9a6a5ded3b,"The upper denture falls when the patient opens his
mouth wide. This is due to:",C,D,False,D
6dfd83ba-ee44-4396-8451-f4bb486a6476,Overload of denture base is caused by:,A,A,True,A
165f7116-4e35-42cd-b870-5e66df7d0583,"If during access opening of a maxillary incisor perforation occurs on labial surface just above CEJ, reason is?",A,B,False,B
a67a3de5-fa39-4d47-b9f1-ca2a42aa8d70,"For periodontal patients, the most frequently recommended tooth brushing technique is:",C,C,True,C
562c151c-3bd4-4b3d-8bb1-118503304818,Endontically treated posterior teeth are more susceptible to fracture than untreated one because:,C,C,True,C
c27b2629-91ce-4214-820f-486a0f7d8add,Negative rake angle means:,A,C,False,C
ea17383a-7256-484c-8935-802442fbb03e,Lateral pedicle flap is used for,B,B,True,B
c740e921-43fe-426e-848b-1d918f8424a7,Tooth most frequently requiring RCT is:,A,A,True,A
d3298813-ec9f-4fb0-8f6d-be5d39543480,"To prepare a cavity on a mandibular first molar in a child
we should give:",C,C,True,C
02a06bac-14e5-4bf2-a085-9d14305cd460,Impression compound has which of the following characteristic property?,A,C,False,C
1d41cfa5-26ea-42db-b8cb-3a7b7959d954,Craters in interseptal bone are best eliminated by,D,D,True,D
7920ff2c-c8bb-482a-9080-b102f83eca18,A 12-years-old child suffers from an avulsed tooth following trauma. The best medium which to carry in the tooth to the dental clinic is:,B,B,True,B
dc223256-3048-485a-9ea6-3cd5c2ff39b3,"After a class V amalgam restoration, patient experiences pain, which may be due to?",D,D,True,D
89e1c450-ada8-47e4-a966-ffe1ad0f789d,"All of the following influence the efficiency of bur, except:",C,C,True,C
